GENES,gene accession,Start position,End position,CHROMOSOME,Strand,DESCRIPTION,PSORIASIC ARTHRITIS,ANKYLOSING SPONDYLITIS,SOURCE,1176,TOTAL DE GENES EM COMUM,,,,
TNFA=TNF,ENSG00000232810,31575565,31578336,6,(+),tumor necrosis factor,X,X,1; 3; 4; 16; 17,1,,,,,
SOCS1,ENSG00000185338,11254405,11256179,16,(-),suppressor of cytokine signaling 1,X,X,1,1,,,,,
DNMT1,ENSG00000130816,10133345,10231286,19,(-),DNA methyltransferase 1,X,,2; 18,0,,,,,
BCL11B,ENSG00000127152,99169287,99271524,14,(-),B cell CLL/lymphoma 11B,X,X,4; 16; 18,1,,,,,
IL12B,ENSG00000113302,159314783,159330887,6,(-),interleukin 12B,X,X,1,1,,,,,
IL12RB2 ,ENSG00000081985,67307364,67398724,1,(+),interleukin 12 receptor subunit beta 2,X,X,2; 16,1,,,,,
NFKB1,ENSG00000109320,102501329,102617302,4,(+),nuclear factor kappa B subunit 1,X,X,1; 4; 18,1,,,,,
ANKH,ENSG00000154122,14704804,14871778,5,(-),ANKH inorganic pyrophosphate transport regulator,,X,1; 4,0,,,,,
LCK,ENSG00000182866,32251239,32286165,1,(+),"LCK proto-oncogene, Src family tyrosine kinase",X,,2; 18,0,,,,,
FYN,	ENSG00000010810,111660332,111873452,6,(-),"FYN proto-oncogene, Src family tyrosine kinase",X,,18,0,,,,,
ZAP70,ENSG00000115085,97713560,97739862,2,(+),zeta chain of T cell receptor associated protein kinase 70,X,,18,0,,,,,
CD3G,	ENSG00000160654,118344344,118355161,11,(+),CD3g molecule,X,,15; 18,0,,,,,
JAK3,	ENSG00000105639,17824780,17848071,19,(-),	Janus kinase 3,X,X,2; 4,1,,,,,
LTBR,	ENSG00000111321,6375045,6391571,12,(+), lymphotoxin beta receptor,X,X,2,1,,,,,
PLCG1,ENSG00000124181,41136960,41196801,20,(+),	phospholipase C gamma 1,X,X,2; 5,1,,,,,
TCF7,	ENSG00000081059,134114711,134151865,5,(+),	transcription factor 7,X,,16; 18,0,,,,,
JAK2,	ENSG00000096968,4985033,5128183,9,(+),	Janus kinase 2,X,X,1; 4; 16,1,,,,,
IL23A, ENSG00000110944,56334174,56340410,12,(+),interleukin 23 subunit alpha,X,X,1; 17,1,,,,,
IL23R,ENSG00000162594,67166400,67259979,1,(+),interleukin 23 receptor,X,X,1; 16,1,,,,,
RORA,	ENSG00000069667,60488284,61229319,15,(-),RAR related orphan receptor A,X,X,6; 16; 18,1,,,,,
ERAP1,ENSG00000164307,96760810,96808100,5,(-),endoplasmic reticulum aminopeptidase 1,X,X,1,1,,,,,
ERAP2,ENSG00000164308,96875939,96919716,5,(+),endoplasmic reticulum aminopeptidase 2,X,X,1,1,,,,,
RUNX3,ENSG00000020633,24899511,24965121,1,(-),runt related transcription factor 3,X,X,1; 18,1,,,,,
FOS,	ENSG00000170345,75278774,75282230,14,(+),"Fos proto-oncogene, AP-1 transcription factor subunit",X,X,4; 15; 18,1,,,,,
JUN,	ENSG00000177606,58780788,58784327,1,(-),"Jun proto-oncogene, AP-1 transcription factor subunit",X,,18,0,,,,,
JUNB,ENSG00000171223,12791496,12793315,19,(+),"JunB proto-oncogene, AP-1 transcription factor subunit",X,X,4; 18,1,,,,,
GZMK,	ENSG00000113088,55024253,55034570,5,(+),granzyme K,X,X,18,1,,,,,
TNFSF8,ENSG00000106952,114893343,114930595,9,(-),TNF superfamily member 8,,X,4,0,,,,,
CD8A,	ENSG00000153563,86784610,86808396,2,(-),	CD8a molecule,X,,2; 9; 16; 18,0,,,,,
CD8B,ENSG00000172116,86815339,86861924,2,(-),	CD8b molecule,X,,16; 18,0,,,,,
IL7R,	ENSG00000168685,35852695,35879603,5,(+),	interleukin 7 receptor,X,,9; 16; 18,0,,,,,
IL2RA,ENSG00000134460,6010689,6062325,10,(-),interleukin 2 receptor subunit alpha,X,,16,0,,,,,
CD160,	ENSG00000117281,145719471,145739288,1,(+),	CD160 molecule,X,X,2; 5,1,,,,,
GNLY,ENSG00000115523,85685175,85698854,2,(+),	granulysin,X,,18,0,,,,,
GZMB,	ENSG00000100453,24630954,24634267,14,(-),	granzyme B,X,,2; 16; 18,0,,,,,
NKG7,	ENSG00000105374,51371606,51372715,19,(-),natural killer cell granule protein 7,X,X,18,1,,,,,
CD19,	ENSG00000177455,28931939,28939346,16,(+),CD19 molecule,X,X,9,1,,,,,
CD14,	ENSG00000170458,140631728,140633701,5,(-),CD14 molecule,X,X,1; 9,1,,,,,
CD68,ENSG00000129226,7579467,7582113,17,(+),CD68 molecule,X,X,2; 5,1,,,,,
S100A12,	ENSG00000163221,153373706,153375649,1,(-),S100 calcium binding protein A12,X,X,1,1,,,,,
FCGR1A,ENSG00000150337,149782671,149792518,1,(+),Fc gamma receptor Ia,X,X,2; 5,1,,,,,
CD83,ENSG00000112149,14117256,14136918,6,(+),CD83 molecule,X,X,2; 5,1,,,,,
CD1C,ENSG00000158481,158289786,158293630,1,(+),CD1c molecule,,X,4,0,,,,,
CX3CR1,ENSG00000168329,39263494,39281735,3,(-),C-X3-C motif chemokine receptor 1,X,X,4,1,,,,,
CEBPA,	ENSG00000245848,33299934,33302564,19,(-),CCAAT enhancer binding protein alpha,X,X,2; 5,1,,,,,
FOSL2,ENSG00000075426,28392448,28417312,2,(+),"FOS like 2, AP-1 transcription factor subunit",X,X,18,1,,,,,
JUND,	ENSG00000130522,18279760,18281622,19,(-),"JunD proto-oncogene, AP-1 transcription factor subunit",X,X,18,1,,,,,
CEBPD,	ENSG00000221869,47736909,47739086,8,(-),CCAAT enhancer binding protein delta,X,,18,0,,,,,
CEBPG,	ENSG00000153879,33373330,33382686,19,(+),CCAAT enhancer binding protein gamma,X,X,2; 5,1,,,,,
FOSL1,ENSG00000175592,65892049,65900573,11,(-),"FOS like 1, AP-1 transcription factor subunit",X,X,2; 5,1,,,,,
GCM1,ENSG00000137270,53126964,53148829,6,(-),glial cells missing transcription factor 1,,X,4,0,,,,,
CEBPB,ENSG00000172216,50190734,50192689,20,(+),CCAAT enhancer binding protein beta,,X,4,0,,,,,
TBX21,	ENSG00000073861,47733236,47746122,17,(+),T-box 21,X,X,1; 16,1,,,,,
RELA,	ENSG00000173039,65653596,65663094,11,(-),"RELA proto-oncogene, NF-kB subunit",X,,18,0,,,,,
ELK4,	ENSG00000158711,205597556,205631962,1,(-),ETS transcription factor ELK4,,X,4,0,,,,,
ARRB1,	ENSG00000137486,75264182,75351705,11,(-),arrestin beta 1,,X,4,0,,,,,
BRAF,	ENSG00000157764,140719327,140924764,7,(-),"B-Raf proto-oncogene, serine/threonine kinase",X,X,2; 5,1,,,,,
ELMO1,ENSG00000155849,36854361,37449249,7,(-),engulfment and cell motility 1,X,X,3,1,,,,,
FOXO3,ENSG00000118689,108559835,108684774,6,(+),forkhead box O3,,X,1,0,,,,,
HCK,	ENSG00000101336,32052188,32101856,20,(+),"HCK proto-oncogene, Src family tyrosine kinase",,X,4,0,,,,,
PF4,	ENSG00000163737,73981077,73982124,4,(-),platelet factor 4,,X,4,0,,,,,
PPBP,	ENSG00000163736,73987038,73988197,4,(-),pro-platelet basic protein,,X,4,0,,,,,
PREX1,ENSG00000124126,48624252,48827883,20,(-),"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1",X,X,4; 18,1,,,,,
SRC,	ENSG00000197122,37344685,37406050,20,(+),"SRC proto-oncogene, non-receptor tyrosine kinase",X,X,2,1,,,,,
PRDM1,ENSG00000057657,106086320,106109939,6,(+),PR/SET domain 1,X,X,2; 16; 18,1,,,,,
TLR4,	ENSG00000136869,117704332,117716871,9,(+),toll like receptor 4,X,X,1,1,,,,,
IL18R1,ENSG00000115604,102311529,102398775,2,(+),interleukin 18 receptor 1,X,X,2; 16; 18,1,,,,,
PCSK5,	ENSG00000099139,75890644,76362975,9,(+),proprotein convertase subtilisin/kexin type 5,,X,4,0,,,,,
EGFR,	ENSG00000146648,55019021,55256620,7,(+),epidermal growth factor receptor,X,X,2; 5,1,,,,,
PXN,ENSG00000089159,120210439,120265771,12,(-),paxillin,X,X,18,1,,,,,
SERPINE1,ENSG00000106366,101127089,101139266,7,(+),serpin family E member 1,X,X,2; 5,1,,,,,
SOD2,ENSG00000112096,159669057,159762529,6,(-),superoxide dismutase 2,X,X,2; 4; 10; 18,1,,,,,
VCAM1,	ENSG00000162692,100719742,100739045,1,(+),vascular cell adhesion molecule 1,X,X,2; 5,1,,,,,
CTSB,ENSG00000164733,11842524,11869448,8,(-),cathepsin B,X,,18,0,,,,,
ACTN4,	ENSG00000130402,38647649,38731583,19,(+),actinin alpha 4,X,X,4; 18,1,,,,,
TNFRSF1A,ENSG00000067182,6328757,6342114,12,(-),TNF receptor superfamily member 1A,X,X,1,1,,,,,
SPRED2,ENSG00000198369,65310851,65432637,2,(-),sprouty related EVH1 domain containing 2,X,X,3,1,,,,,
OSTF1,	ENSG00000134996,75088543,75147265,9,(+),osteoclast stimulating factor 1,X,,18,0,,,,,
CD63,	ENSG00000135404,55725323,55729707,12,(-),CD63 molecule,X,X,18,1,,,,,
BRD4,	ENSG00000141867,15235519,15332545,19,(-),bromodomain containing 4,,X,4,0,,,,,
SLC1A4,	ENSG00000115902,64988477,65023865,2,(+),solute carrier family 1 member 4,X,,18,0,,,,,
CDC6,	ENSG00000094804,40287633,40304657,17,(+),cell division cycle 6,X,,18,0,,,,,
ASTN2,	ENSG00000148219,116425225,117415070,9,(-),astrotactin 2,X,X,3; 5,1,,,,,
RPS26,ENSG00000197728,56041853,56044675,12,(+),ribosomal protein S26,X,X,18,1,,,,,
TOX2,	ENSG00000124191,43914864,44069616,20,(+),TOX high mobility group box family member 2,X,X,18,1,,,,,
TOP2A,ENSG00000131747,40388516,40417950,17,(-),DNA topoisomerase II alpha,X,,18,0,,,,,
JDP2,	ENSG00000140044,75427716,75474111,14,(+),Jun dimerization protein 2,X,X,2; 5,1,,,,,
ACTR2,	ENSG00000138071,65227753,65271253,2,(+),actin related protein 2,X,X,4; 18,1,,,,,
STK4,	ENSG00000101109,44966474,45079959,20,(+),serine/threonine kinase 4,X,,18,0,,,,,
NCAPD2,ENSG00000010292,6493356,6531955,12,(+),non-SMC condensin I complex subunit D2,X,,18,0,,,,,
YWHAB,	ENSG00000166913,44885676,44908532,20,(+),tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta,X,X,18,1,,,,,
RUNX2,	ENSG00000124813,45328157,45664349,6,(+),RUNX family transcription factor 2,X,X,1; 18,1,,,,,
KDM6B,	ENSG00000132510,7839904,7854796,17,(+),lysine demethylase 6B,,X,4,0,,,,,
KDM6A,ENSG00000147050,44873188,45112779,X,(+),lysine demethylase 6A,,X,5,0,,,,,
IL21,	ENSG00000138684,122612628,122621069,4,(-),interleukin 21,X,X,2; 16,1,,,,,
IL1A,	ENSG00000115008,112773915,112784590,2,(-),interleukin 1 alpha,X,X,1,1,,,,,
EZH2,ENSG00000106462,148807383,148884321,7,(-),enhancer of zeste 2 polycomb repressive complex 2 subunit,X,X,4; 18,1,,,,,
RORC,	ENSG00000143365,151806071,151831872,1,(-),RAR related orphan receptor C,X,,16; 18,0,,,,,
KDM5B,	ENSG00000117139,202724491,202809470,1,(-),lysine demethylase 5B,X,X,2; 5,1,,,,,
ATF4,	ENSG00000128272,39519695,39522685,22,(+),activating transcription factor 4,,X,5,0,,,,,
DDIT3,ENSG00000175197,57516588,57520517,12,(-),DNA damage inducible transcript 3,X,X,2; 5,1,,,,,
PTPRC,	ENSG00000081237,198638671,198757283,1,(+),protein tyrosine phosphatase receptor type C,X,X,5; 18,1,,,,,
PGD,ENSG00000142657,10398592,10420144,1,(+),phosphogluconate dehydrogenase,X,X,2; 5,1,,,,,
GLUD1,	ENSG00000148672,87050486,87094866,10,(-),glutamate dehydrogenase 1,,X,4,0,,,,,
ACKR2,ENSG00000144648,42804752,42887974,3,(+),atypical chemokine receptor 2,X,X,2,1,,,,,
PPARGC1A,	ENSG00000109819,23755041,23904089,4,(-),PPARG coactivator 1 alpha,X,X,2; 5,1,,,,,
FOXP3,ENSG00000049768,49250438,49264800,X,(-),forkhead box P3,X,X,2; 3; 16,1,,,,,
AWAT1,ENSG00000204195,70234655,70240659,X,(+),acyl-CoA wax alcohol acyltransferase 1,X,X,6,1,,,,,
SPRR2A,ENSG00000241794,153056113,153057537,1,(-),small proline rich protein 2A,X,,2; 11,0,,,,,
SPRR2C,	ENSG00000229035,153140491,153140709,1,(-),small proline rich protein 2C (pseudogene),X,,2,0,,,,,
SPRR2F,	ENSG00000244094,153112114,153113515,1,(-),small proline rich protein 2F,X,,2; 11,0,,,,,
LCE3A,ENSG00000185962,152622834,152623103,1,(-),late cornified envelope 3A,X,,11,0,,,,,
DEFB4A,ENSG00000171711,7894629,7896711,8,(+),defensin beta 4A,X,,2; 11,0,,,,,
DEFB4B,ENSG00000177257,7414860,7416863,8,(-),defensin beta 4B,X,,2; 11,0,,,,,
S100A7A,ENSG00000184330,153416524,153423225,1,(+),S100 calcium binding protein A7A,X,,2; 11,0,,,,,
S100A9,ENSG00000163220,153357854,153361027,1,(+),S100 calcium binding protein A9,X,X,1; 11,1,,,,,
S100A12,	ENSG00000163221,153373706,153375649,1,(-),S100 calcium binding protein A12,X,,2; 11,0,,,,,
PI3,ENSG00000124102,45174876,45176544,20,(+),peptidase inhibitor 3,X,X,2; 11,1,,,,,
IL36A,ENSG00000136694,113005461,113008044,2,(+),interleukin 36 alpha,X,,2; 3; 11,0,,,,,
IL19,ENSG00000142224,206798870,206842981,1,(+),interleukin 19,X,,11,0,,,,,
CXCL1,	ENSG00000163739,73869393,73871242,4,(+),C-X-C motif chemokine ligand 1,X,,2; 10; 11,0,,,,,
CXCL6,ENSG00000124875,73836497,73849064,4,(+),C-X-C motif chemokine ligand 6,X,,2; 11,0,,,,,
CXCL8,	ENSG00000169429,73740541,73743716,4,(+),C-X-C motif chemokine ligand 8,X,X,10; 11,1,,,,,
CCR2,ENSG00000121807,46353734,46360928,3,(+),C-C motif chemokine receptor 2,X,X,4,1,,,,,
CCR5,ENSG00000160791,46370854,46376206,3,(+),C-C motif chemokine receptor 5,X,,16; 18,0,,,,,
CXCR2,ENSG00000180871,218125289,218137253,2,(+),C-X-C motif chemokine receptor 2,X,X,2,1,,,,,
CXCL5,ENSG00000163735,73995642,73998779,4,(-),C-X-C motif chemokine ligand 5,X,,10,0,,,,,
CXCL13,ENSG00000156234	,77511753,77611834,4,(+),C-X-C motif chemokine ligand 13,X,X,3; 18,1,,,,,
CXCR6,ENSG00000172215,45940933,45948353,3,(+),C-X-C motif chemokine receptor 6,X,,2; 16; 18,0,,,,,
CXCL16,ENSG00000161921,4733526,4739922,17,(-),C-X-C motif chemokine ligand 16,X,X,4,1,,,,,
CCR6,	ENSG00000112486,167111807,167139696,6,(+),C-C motif chemokine receptor 6,X,X,3; 16; 18,1,,,,,
CXCR3,ENSG00000186810,71615916,71618511,X,(-),C-X-C motif chemokine receptor 3,X,,16; 18,0,,,,,
CCL20,ENSG00000115009,227813842,227817564,2,(+),C-C motif chemokine ligand 20,X,X,2; 3; 10; 16,1,,,,,
CCR4,ENSG00000183813,32951574,32956349,3,(+),C-C motif chemokine receptor 4,X,,3; 16,0,,,,,
ICOS,ENSG00000163600,203936748,203961577,2,(+),inducible T cell costimulator,X,X,2; 16; 18,1,,,,,
PDCD1,ENSG00000188389,241849881,241858908,2,(-),programmed cell death 1,X,X,1; 16; 18,1,,,,,
ITGAE,ENSG00000083457,3714628,3801243,17,(-),integrin subunit alpha E,X,,16; 18,0,,,,,
MAF,ENSG00000178573,79585843,79600714,16,(-),MAF bZIP transcription factor,X,X,16; 18,1,,,,,
IRF4,ENSG00000137265,391739,411447,6,(+),interferon regulatory factor 4,X,X,4; 16,1,,,,,
STAT5A,	ENSG00000126561,42287547,42311943,17,(+),signal transducer and activator of transcription 5A,X,,16,0,,,,,
BATF,ENSG00000156127,75522425,75547015,14,(+),basic leucine zipper ATF-like transcription factor,X,X,5; 18,1,,,,,
HK2,ENSG00000159399,74833981,74893359,2,(+),hexokinase 2,X,X,2; 4,1,,,,,
PFKM,ENSG00000152556,8105139,48146404,12,(+),"phosphofructokinase, muscle",X,X,4,1,,,,,
PGK1,ENSG00000102144,77910739,78129295,X,(+),phosphoglycerate kinase 1,X,X,18,1,,,,,
LDHA,ENSG00000134333,18394388,18408425,11,(+),lactate dehydrogenase A,X,,18,0,,,,,
TPI1,ENSG00000111669,6867119,6870948,12,(+),triosephosphate isomerase 1,X,,18,0,,,,,
ENO1,ENSG00000074800,8861002,8879249,1,(-),enolase 1,X,X,4; 5; 18,1,,,,,
PKM,ENSG00000067225,72199029,72231822,15,(-),pyruvate kinase M1/2,X,X,2; 4; 18,1,,,,,
PFKL,ENSG00000141959,44300051,44327376,21,(+),"phosphofructokinase, liver type",X,X,4,1,,,,,
IL36G,ENSG00000136688,112973203,112985665,2,(+),interleukin 36 gamma,X,,2,0,,,,,
LYZ,ENSG00000090382,69348341,69354234,12,(+),lysozyme,X,X,2; 5,1,,,,,
RAC1,ENSG00000136238,6374523,6403977,7,(+),Rac family small GTPase 1,X,X,4; 18,1,,,,,
LCE3D,ENSG00000163202,152579381,152580504,1,(-),late cornified envelope 3D,X,,2,0,,,,,
PLA2G4D,ENSG00000159337,42067009,42094554,15,(-),phospholipase A2 group IVD,X,X,2; 3; 4,1,,,,,
LCN2,ENSG00000148346,128149071,128153455,9,(+),lipocalin 2,X,X,2; 4,1,,,,,
CRABP2,ENSG00000143320,156699606,156705816,1,(-),cellular retinoic acid binding protein 2,X,,2,0,,,,,
GATA3,ENSG00000107485,8053604,8075198,10,(+),GATA binding protein 3,X,X,16; 18,1,,,,,
CD55,ENSG00000196352,207321508,207360966,1,(+),CD55 molecule (Cromer blood group),X,,18,0,,,,,
IFNG,ENSG00000111537,68154768,68159747,12,(-),interferon gamma,X,X,1; 16; 18,1,,,,,
IL17F,ENSG00000112116,52236681,52244537,6,(-),interleukin 17F,X,X,1; 3; 12; 16,1,,,,,
AQP1,	ENSG00000240583,30911855,30925516,7,(+),aquaporin 1 (Colton blood group),X,X,2; 5,1,,,,,
CTSK,ENSG00000143387,150796208,150808323,1,(-),cathepsin K,X,X,2; 5,1,,,,,
ACP5,ENSG00000102575,11574660,11579008,19,(-),"acid phosphatase 5, tartrate resistant",X,,18,0,,,,,
CD52,ENSG00000169442,26317957,26320523,1,(+),CD52 molecule,X,X,4; 18,1,,,,,
CD3E,ENSG00000198851,118304545,118316175,11,(+),CD3 epsilon subunit of T-cell receptor complex,X,X,4; 18,1,,,,,
CD4,ENSG00000010610,6786858,6820808,12,(+),CD4 molecule,X,X,3; 4; 9; 16,1,,,,,
CD80,ENSG00000121594,119524293,119559602,3,(-),CD80 molecule,X,X,5,1,,,,,
CD274,	ENSG00000120217,5450503,5470566,9,(+),CD274 molecule,X,X,2,1,,,,,
CD86,	ENSG00000114013,122055366,122121139,3,(+),CD86 molecule,X,X,38,1,,,,,
CD38,	ENSG00000004468,15778275,15853230,4,(+),CD38 molecule,X,X,2; 9; 18,1,,,,,
ZBP1,	ENSG00000124256,57603846,57620576,20,(-),Z-DNA binding protein 1,X,,18,0,,,,,
CXCL10,	ENSG00000169245,76021117,76023497,4,(-),C-X-C motif chemokine ligand 10,X,X,1,1,,,,,
TRAF3IP2,	ENSG00000056972,111556454,111606278,6,(-),TRAF3 interacting protein 2,X,X,1,1,,,,,
KLRB1,ENSG00000111796,9594551,9607916,12,(-),killer cell lectin like receptor B1,X,X,3; 15; 16; 18,1,,,,,
PRF1,	ENSG00000180644,70597348,70602775,10,(-),perforin 1,X,X,16; 18,1,,,,,
NCR3,ENSG00000204475,31588895,31592985,6,(-),natural cytotoxicity triggering receptor 3,X,,18,0,,,,,
CHN1,ENSG00000128656,174799363,175005369,2,(-),chimerin 1,X,,3; 18,0,,,,,
GOLIM4,ENSG00000173905,168008677,168095975,3,(-),golgi integral membrane protein 4,X,X,4,1,,,,,
AHR,	ENSG00000106546,17298622,17346152,7,(+),aryl hydrocarbon receptor,X,X,4; 16; 18,1,,,,,
SGK1,ENSG00000118515,134169246,134318112,6,(-),serum/glucocorticoid regulated kinase 1,X,X,2; 4; 18,1,,,,,
SOX4,	ENSG00000124766,21592769,21598619,6,(+),SRY-box transcription factor 4,X,X,3,1,,,,,
KIR3DL1 ,ENSG00000167633,54724497,54867215,19,(+),"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1",X,X,1,1,,,,,
IL33,ENSG00000137033,6215786,6257983,9,(+),interleukin 33,X,X,1,1,,,,,
TNIP1,ENSG00000145901,151029945,151093577,5,(-),TNFAIP3 interacting protein 1,X,X,2; 3; 18,1,,,,,
CSF2,	ENSG00000164400,132073790,132076170,5,(+),colony stimulating factor 2,X,X,16,1,,,,,
IL1B,ENSG00000125538,112829751,112836903,2,(-),interleukin 1 beta,X,X,1,1,,,,,
CARD14,	ENSG00000141527,80169992,80209331,17,(+),caspase recruitment domain family member 14,X,X,1; 6,1,,,,,
ZFP36,ENSG00000128016,39406813,39409412,19,(+),ZFP36 ring finger protein,X,X,4; 18,1,,,,,
TGFBR3,ENSG00000069702,91680343,91906335,1,(-),transforming growth factor beta receptor 3,X,X,4; 18,1,,,,,
EZR,ENSG00000092820,158765741,158819368,6,(-),ezrin,X,,18,0,,,,,
CLEC2B,ENSG00000110852,9852984,9870136,12,(-),C-type lectin domain family 2 member B,X,X,13; 18,1,,,,,
CD58,ENSG00000116815,116514534,116571039,1,(-),CD58 molecule,X,,16; 18,0,,,,,
CSTA,ENSG00000121552,122325248,122341969,3,(+),cystatin A,X,,2; 13,0,,,,,
BCL2A1,ENSG00000140379,79960892,79971196,15,(-),BCL2 related protein A1,X,,2,0,,,,,
MSN,ENSG00000147065,65588377,65741931,X,(+),moesin,X,X,4; 18,1,,,,,
REL, 	ENSG00000162924 ,60881491,60931612,2,(+),"REL proto-oncogene, NF-kB subunit",X,X,5; 18,1,,,,,
SETD2,ENSG00000181555	,47016429,47164113,3,(-),"SET domain containing 2, histone lysine methyltransferase",X,,18,0,,,,,
TBK1,ENSG00000183735,64452092,64502114,12,(+),TANK binding kinase 1,X,,3,0,,,,,
HAT1,ENSG00000128708,171922448,171983686,2,(+),histone acetyltransferase 1,X,,13; 18,0,,,,,
TP53,ENSG00000141510,7661779,7687538,17,(-),tumor protein p53,X,,1,0,,,,,
BCL10,ENSG00000142867,85265776,85276632,1,(-),BCL10 immune signaling adaptor,X,,2,0,,,,,
IL36RN,ENSG00000136695,113058638,113065382,2,(+),interleukin 36 receptor antagonist,X,X,1,1,,,,,
GJB2,ENSG00000165474,20187463,20192938,13,(-),gap junction protein beta 2,X,X,2,1,,,,,
SYT1,ENSG00000067715,78863993,79452008,12,(+),synaptotagmin 1,X,X,2; 5,1,,,,,
RAPGEF3,ENSG00000079337,47734363,47771040,12,(-),Rap guanine nucleotide exchange factor 3,,X,4,0,,,,,
ACP7,ENSG00000183760,39083913,39111493,19,(+),"acid phosphatase 7, tartrate resistant (putative)",X,X,2,1,,,,,
